ProjectId,CustomerId,ProjectName,Status,BudgetUsd,SpentUsd,StartDate,TargetEndDate
1,154,Streamlined discrete ability,Paused,3326758,804383,2025-12-19,2027-10-05
2,271,User-centric discrete focus group,Active,13929147,7329818,2025-07-24,2027-10-14
3,102,Open-architected executive matrix,At Risk,22279862,22571892,2025-04-05,2027-08-23
4,277,Up-sized mission-critical customer loyalty,At Risk,18453325,11499836,2025-07-19,2028-05-28
5,230,Realigned bandwidth-monitored database,Planned,3022124,1869065,2026-03-02,2028-04-24
6,115,Phased solution-oriented capacity,Completed,38926142,38978119,2026-03-09,2026-10-29
7,164,Pre-emptive tangible time-frame,Active,18809374,10501378,2025-07-18,2027-08-07
8,5,Multi-lateral grid-enabled database,Active,11685868,2976530,2025-09-27,2026-11-15
9,103,Team-oriented motivating monitoring,Active,33395279,25702508,2024-12-10,2028-04-29
10,8,Cross-group dedicated infrastructure,Planned,24510846,23265934,2025-05-28,2027-04-22
11,107,Streamlined disintermediate encryption,Planned,15016579,3027973,2025-06-09,2026-08-27
12,10,Up-sized methodical task-force,Active,37212147,23472217,2025-06-21,2027-04-19
13,150,Distributed multimedia methodology,Paused,27465415,15829767,2025-01-22,2028-06-11
14,57,Phased cohesive installation,Paused,724085,146835,2026-03-27,2027-11-05
15,293,Progressive multimedia archive,Planned,38526433,39658957,2024-06-18,2027-11-12
16,130,Fully-configurable optimizing array,Planned,8393400,4508437,2025-04-08,2027-07-23
17,12,Enhanced multi-tasking migration,Planned,39299321,39008676,2025-10-04,2027-05-18
18,197,Sharable directional portal,Active,38498870,31760178,2025-09-19,2027-02-25
19,121,Sharable non-volatile definition,Active,9718986,7473648,2026-04-16,2028-06-12
20,234,Vision-oriented next generation collaboration,Paused,39455497,29938867,2026-05-03,2028-01-20
21,236,Organized secondary model,Paused,3401740,1776421,2024-08-23,2027-05-05
22,173,Monitored dynamic parallelism,Planned,20546186,13374768,2025-01-27,2028-02-14
23,281,Operative optimizing model,At Risk,28938541,17317517,2025-11-16,2026-12-26
24,199,Vision-oriented context-sensitive analyzer,Planned,16837903,3935409,2025-04-23,2027-09-28
25,264,Profound intangible attitude,Active,19011302,14600042,2026-02-17,2026-09-05
26,223,Optional systematic toolset,Active,8368553,7857773,2025-12-23,2026-10-28
27,229,Business-focused system-worthy info-mediaries,Paused,5935268,5766364,2025-06-05,2026-07-27
28,44,Synergistic object-oriented focus group,Paused,21763487,6022991,2025-03-17,2026-08-02
29,285,Configurable even-keeled strategy,At Risk,25188673,19553246,2026-05-16,2028-02-29
30,257,Realigned 24hour extranet,At Risk,9897355,8216393,2025-01-11,2026-09-19
31,77,Diverse 5thgeneration open architecture,At Risk,1619442,578081,2024-11-06,2027-05-01
32,7,Horizontal neutral knowledge user,At Risk,4991158,2502095,2025-01-20,2027-02-26
33,123,Enterprise-wide didactic knowledge user,Planned,19038419,10331855,2025-07-08,2028-05-29
34,229,Optimized tangible architecture,Paused,21985676,11241304,2025-05-23,2026-12-11
35,129,De-engineered local knowledgebase,At Risk,19417548,13263425,2026-05-05,2026-07-24
36,208,Operative well-modulated core,Planned,29387166,16649060,2025-08-24,2027-10-11
37,49,Managed scalable architecture,At Risk,4329907,2844511,2025-10-30,2027-04-22
38,9,Re-contextualized optimal application,Paused,9746865,7663591,2025-04-15,2028-01-06
39,47,Implemented asynchronous standardization,Active,34423900,11233629,2025-04-05,2027-07-31
40,114,Stand-alone directional instruction set,At Risk,34849592,19891897,2025-03-30,2027-11-21
41,1,Synergistic dynamic leverage,Completed,10418803,10393871,2025-11-25,2028-02-18
42,73,Operative zero-defect artificial intelligence,Paused,2660273,1704248,2026-03-22,2027-07-02
43,36,Multi-channeled directional Graphical User Interface,At Risk,33745096,14089467,2025-05-24,2027-06-13
44,70,Proactive multi-tasking hierarchy,At Risk,31778023,12353492,2025-07-21,2027-11-07
45,99,Grass-roots global middleware,Active,28021057,12850614,2024-11-29,2026-08-28
46,177,Synergized multimedia standardization,At Risk,30896536,6625434,2024-10-30,2027-01-30
47,45,Quality-focused non-volatile concept,Paused,11101874,7931141,2024-10-29,2027-09-19
48,72,Multi-tiered 5thgeneration forecast,Planned,37421307,29263918,2024-09-16,2027-01-12
49,282,Adaptive contextually-based hardware,Planned,8197738,6311384,2026-01-28,2027-04-09
50,91,Sharable analyzing collaboration,Planned,22369024,10896841,2024-09-09,2027-06-12
51,147,Programmable context-sensitive process improvement,Planned,27081326,7988191,2025-02-07,2028-05-18
52,32,Realigned needs-based archive,Active,31582017,22086583,2026-03-27,2027-12-27
53,29,Up-sized 24hour emulation,Planned,18150440,10054809,2025-04-23,2027-04-24
54,28,Virtual cohesive parallelism,Active,6121235,1873483,2025-01-09,2026-12-12
55,268,Profound uniform algorithm,Planned,10018328,5814371,2025-01-18,2027-06-20
56,46,Cross-group responsive complexity,Active,12196465,4469006,2025-04-22,2028-03-31
57,291,Reactive 24/7 migration,Planned,29069960,7470233,2025-11-17,2027-02-18
58,65,Decentralized 24/7 moderator,At Risk,2370656,1762670,2025-04-05,2028-03-03
59,273,Seamless optimizing Local Area Network,Completed,25516248,5347402,2026-03-30,2026-07-09
60,223,Proactive uniform synergy,At Risk,22217246,8581241,2025-06-08,2027-09-23
61,160,Expanded systematic artificial intelligence,At Risk,26024557,20873960,2024-11-30,2027-09-21
62,91,Automated composite service-desk,Completed,10085591,10207925,2025-05-16,2027-03-24
63,113,Implemented contextually-based help-desk,Planned,20522308,10625221,2026-03-19,2026-08-22
64,55,Open-architected holistic knowledge user,Planned,6313135,3006970,2025-03-02,2027-02-18
65,188,Innovative multi-state implementation,Active,33902126,27017219,2024-11-13,2026-10-20
66,159,Compatible 24/7 software,At Risk,33405353,30119460,2026-03-22,2027-06-23
67,121,User-friendly web-enabled ability,Completed,23869468,15835421,2025-12-25,2027-04-12
68,43,Mandatory foreground matrices,Paused,33361795,34339752,2024-11-12,2027-11-28
69,87,Virtual executive budgetary management,Planned,11350951,11128098,2024-07-22,2027-04-20
70,65,Vision-oriented 4thgeneration synergy,Active,31192721,23537657,2025-04-18,2027-04-02
71,202,Customizable incremental website,Paused,30804556,31392876,2025-10-08,2026-08-23
72,201,Mandatory content-based artificial intelligence,Completed,28472009,22321533,2025-04-25,2027-04-21
73,180,Team-oriented composite frame,Active,27256253,27003967,2025-01-09,2027-03-29
74,142,Right-sized maximized standardization,Paused,5539760,5505446,2025-08-09,2027-07-04
75,227,Implemented didactic emulation,Completed,27832074,25255103,2025-12-07,2028-04-03
76,262,Networked regional knowledge user,At Risk,18490032,15823561,2025-02-04,2027-02-28
77,243,Multi-lateral empowering infrastructure,Active,31745310,28214963,2025-12-26,2027-04-05
78,297,Ergonomic encompassing time-frame,At Risk,4432539,3237805,2026-05-27,2027-04-29
79,8,Multi-layered content-based encoding,Planned,2849435,1546126,2026-02-25,2027-07-30
80,262,Self-enabling fault-tolerant portal,Completed,20754659,12774426,2025-10-29,2028-05-13
81,155,Reverse-engineered impactful implementation,At Risk,10169334,3093611,2025-11-14,2027-07-30
82,140,Up-sized systemic budgetary management,At Risk,14457622,6582665,2025-06-16,2027-12-27
83,215,Programmable next generation alliance,Planned,25794242,16884330,2025-01-07,2027-01-28
84,78,Ameliorated content-based instruction set,Completed,6230461,2985082,2026-05-14,2028-05-02
85,130,Progressive leadingedge firmware,At Risk,24309568,8163404,2025-02-08,2026-10-13
86,295,User-friendly human-resource capability,Completed,11947257,2559930,2026-03-23,2028-03-22
87,142,Organized reciprocal approach,Planned,19395493,14227350,2026-02-21,2026-10-27
88,64,User-friendly real-time database,Paused,7183051,5434566,2026-03-03,2027-09-06
89,253,Team-oriented explicit frame,Planned,13524130,8841570,2024-11-16,2028-05-04
90,272,Synergized cohesive artificial intelligence,Planned,10248341,5993100,2025-12-30,2027-01-18
91,220,Universal fresh-thinking groupware,At Risk,16070035,7305117,2026-01-28,2027-09-10
92,148,Right-sized 4thgeneration analyzer,Paused,33984147,31461781,2025-05-20,2027-03-07
93,92,Networked zero tolerance system engine,At Risk,4746834,3030545,2025-07-17,2026-10-08
94,215,Fully-configurable analyzing implementation,Completed,36426745,7986755,2025-09-14,2028-05-05
95,208,Monitored local moderator,Planned,17826183,16380875,2026-05-10,2027-05-16
96,178,Compatible secondary software,Planned,6999457,6143729,2025-03-06,2028-05-22
97,94,Business-focused executive attitude,At Risk,6514156,2173306,2024-11-30,2027-06-16
98,160,Polarized homogeneous matrix,At Risk,13558257,10099607,2025-08-21,2028-01-29
99,43,Switchable system-worthy project,Planned,12915005,5232148,2024-11-06,2026-10-06
100,61,De-engineered encompassing policy,Paused,27340758,6624526,2025-03-15,2026-12-08
101,271,Configurable optimizing instruction set,Active,28846370,5869623,2025-05-17,2027-02-25
102,255,Organized optimal capability,Paused,9948089,2819273,2026-01-12,2026-07-28
103,198,Robust fault-tolerant groupware,Active,3948138,4025470,2024-12-20,2026-07-23
104,84,Diverse national strategy,Active,4593094,4728990,2025-09-03,2027-11-07
105,54,Innovative demand-driven open architecture,Paused,30378993,19962941,2026-04-05,2027-07-17
106,26,Multi-tiered optimizing knowledge user,At Risk,5780916,1585452,2025-03-30,2027-01-20
107,17,Decentralized disintermediate service-desk,Completed,1286262,481294,2025-03-19,2027-06-17
108,60,Visionary needs-based model,Completed,16553228,4779883,2025-04-15,2027-07-01
109,51,Reduced hybrid portal,Paused,39973694,35288281,2026-02-25,2027-07-10
110,213,Polarized multi-state interface,Planned,3459303,2933349,2024-11-27,2028-04-15
111,199,Innovative bottom-line moratorium,At Risk,10841339,9012020,2025-10-21,2027-02-21
